Document ID,Document Date,Gazette Type,Reasoning
1912-30,2015-04-30,COMMERCIAL,"This gazette content contains the Central Bank of Sri Lanka's balance sheet and financial statements as of March 31, 2015, including assets, liabilities, and an Auditor General's review report. This falls under commercial matters specifically related to banking and financial institution reporting, making it a Commercial Gazette (Type 6)."
1912-31,2015-04-30,LEGAL_REGULATORY,"This gazette contains regulations made by the Minister under the Imports and Exports (Control) Act, specifically amending import regulations and license fees for Areca nuts. The content focuses on legal/regulatory matters concerning import control and tariff classifications, falling squarely under Legal/Regulatory Gazettes (Type 5) which cover regulatory frameworks, statutory instruments, and amendments to existing regulations."
1912-32,2015-04-30,LAND,"This gazette content exclusively deals with land acquisition matters under the Land Acquisition Act, specifically describing multiple parcels of land being acquired by the government for public purposes. It includes detailed descriptions of land lots, their locations, extents, and claimants, along with procedures for compensation claims. This fits perfectly within the Land Gazettes category (Type 4) as it focuses on land acquisition and property matters."
1912-33,2015-04-30,ELECTIONS,"This gazette notification specifically addresses the filling of a vacancy in the Northern Province Provincial Council due to a member's death. It details the process under the Provincial Councils Elections Act, including the failure of a political party to nominate a candidate and the subsequent declaration of a new member by the Commissioner of Elections. The core subject matter is electoral processes and filling elected positions, which falls squarely under the Elections classification (Type 7)."
1912-34,2015-04-30,ORGANISATIONAL,"This gazette notification concerns the organization and regulation of a religious/cultural event (the Annual Perahara of Badulla Muthiyangana Rajamaha Viharaya). It involves administrative orders about the event's route, traffic restrictions, and public health measures, but it does not fit any of the specialized categories (4-9) as it is not about land, legal/commercial matters, elections, public service, or judicial/law enforcement. Since it involves cultural/religious administration not covered by other types, it falls under Miscellaneous (Type 10)."
1912-35,2015-04-30,ELECTIONS,"This gazette content specifically deals with filling vacancies in local government councils (Ratnapura Municipal Council and Moratuwa Municipal Council) under the Local Authorities Elections Ordinance. It involves the electoral process for local authorities, including the declaration of elected officials to fill positions that have become vacant due to appointment as Mayor and death. This falls squarely under Election Gazettes (Type 7) which cover electoral processes, candidate nominations, and election results for government positions."
1912-36,2015-04-30,LAND,"This gazette content primarily deals with the acquisition of immovable property (land) for the construction of a water supply scheme. It describes the specific land parcel, its location, boundaries, and extent, making it clearly a land and property-related matter falling under Type 4 (Land Gazettes). While it involves a government minister's order, the core subject is land acquisition rather than government structure, personnel, or portfolio responsibilities."
1912-37,2015-04-30,LAND,"This gazette content exclusively deals with land acquisition matters, including specific lot numbers, land descriptions, ownership details, boundaries, and acquisition procedures under the Land Acquisition Act. It contains multiple notices about land parcels being acquired for public purposes, with detailed descriptions of properties, their extents, and ownership claims. This fits perfectly within the Land Gazettes category (Type 4) which covers land acquisitions, transfers, and property-related administrative matters."
1912-21,2015-04-29,LAND,"This gazette content exclusively deals with land acquisition matters under the Land Acquisition Act. It contains detailed notices for acquiring specific land parcels for public purposes, including descriptions of land locations, lot numbers, extents, boundaries, and procedures for compensation claims. The content falls squarely within the Land Gazettes category (Type 4) as it primarily concerns land acquisition, property descriptions, and related administrative procedures."
1912-23,2015-04-29,LAND,"This gazette content is primarily about land acquisition under the Land Acquisition Act, specifically declaring that certain described lands are needed for public purpose and will be acquired. It contains detailed descriptions of land parcels, their boundaries, and extents. While it mentions the Minister of Lands, this is incidental to the main purpose of the notice, which is land-related matters. The content fits squarely within the Land Gazette category (Type 4) as it deals with land acquisitions and property descriptions."
