Document ID,Document Date,Gazette Type,Reasoning
2260-70,2021-12-31,LAND,"This gazette content primarily deals with land acquisition matters under the Land Acquisition Act. It contains detailed descriptions of specific land parcels being acquired, including their locations, boundaries, and extents. The content focuses exclusively on land-related administrative procedures without involving government personnel changes, structural reorganizations, or other specialized categories. The mention of the Minister of Lands is incidental to the land acquisition authority rather than being the primary focus of the gazette."
2260-71,2021-12-31,LAND,"This gazette content primarily deals with land acquisition matters under the Land Acquisition Act. It specifically revokes a previous land acquisition order and provides detailed descriptions of land boundaries, extents, and ownership claims. The content focuses entirely on land-related administrative procedures and property descriptions, fitting the Land Gazette classification (Type 4) for land and property-related matters. While it mentions a government minister, the core content is about land acquisition rather than government personnel or structural changes."
2260-72,2021-12-31,LEGAL_REGULATORY,"This gazette content involves the imposition of a Special Commodity Levy under the Special Commodity Levy Act, No. 48 of 2007. It constitutes a regulatory order that modifies existing regulations (rescinding previous gazette notifications) and establishes new levy rates for specific commodities. This falls squarely under Legal/Regulatory matters (Type 5) as it deals with statutory instruments, regulatory frameworks, and compliance requirements rather than government personnel changes, organizational structure, or other specialized categories."
2260-73,2021-12-31,LEGAL_REGULATORY,"This gazette content contains the Central Bank of Sri Lanka's balance sheet and the Auditor General's review report. This constitutes financial regulatory information and statutory reporting requirements, which falls under Legal/Regulatory matters (Type 5) as it involves regulatory frameworks, compliance requirements, and statutory financial reporting by a government financial institution."
2260-74,2021-12-31,PUBLIC_SERVICE,"This gazette notification contains amendments to the Service Minute of the Sri Lanka Inland Revenue Service, detailing examination procedures, testing methods, and syllabus requirements for public service recruitment. It is issued by the Public Service Commission and relates specifically to public sector service conditions and recruitment processes, making it a Public Service Gazette."
2260-75,2021-12-31,ELECTIONS,"This gazette content specifically deals with filling vacancies in local government councils (Kegalle Urban Council and Kandy Municipal Council) under the Local Authorities Elections Ordinance. It involves electoral processes, including declarations of elected members to fill seats vacated due to death and failure to attend meetings, which falls under the Elections category (Type 7) for electoral matters and declarations."
2260-60,2021-12-30,LEGAL_REGULATORY,"This gazette content publishes a Collective Agreement between Kurunegala Plantations Limited and the Ceylon Estate Staffs Union under the Industrial Disputes Act. It contains detailed regulatory provisions about employment terms, conditions, and dispute resolution mechanisms. This falls under Legal/Regulatory Gazettes (Type 5) as it involves statutory instruments and regulatory frameworks governing industrial relations, specifically published in accordance with Section 06 of the Industrial Disputes Act."
2260-61,2021-12-30,LEGAL_REGULATORY,"This gazette content publishes a collective agreement between a private company (Chilaw Plantations Limited) and a trade union (Ceylon Estate Staffs Union) under the Industrial Disputes Act. It contains detailed regulatory provisions about employment terms, conditions, and dispute resolution mechanisms. This falls under legal/regulatory matters as it involves the official publication of a legally binding agreement that establishes regulatory frameworks for employment relationships, consistent with Type 5 classification for legal framework and regulatory matters."
2260-63,2021-12-30,LEGAL_REGULATORY,"This gazette contains regulations made by the Minister of Industries under the National Gem and Jewellery Authority Act, specifically amending license fee structures for gem and jewellery exports. This constitutes subsidiary legislation and regulatory framework changes, falling squarely under Legal/Regulatory matters (Type 5). While it mentions a minister's name, it does not involve government personnel changes or structural reorganization, and the content focuses exclusively on regulatory amendments rather than portfolio assignments or administrative changes."
2260-64,2021-12-30,LAND,"This gazette content is exclusively about land acquisition notices under the Land Acquisition Act. It provides detailed descriptions of specific land parcels being acquired by the government for public purposes, including lot numbers, land names, descriptions, claimants, and extents. The content falls under ""Land acquisitions, transfers, or disposals"" as specified in the Land Gazettes (Type 4) classification."
2260-65,2021-12-30,LEGAL_REGULATORY,"This gazette content primarily deals with legal and regulatory matters concerning municipal governance. It references specific ordinances (Municipal Councils Ordinance Chapter 252) and acts (Provincial Councils (Consequential Provisions) Act, Local Authorities (Special Provisions) Act), outlines legal procedures for budget approval, specifies consequences for non-compliance (deemed vacancy of Mayor position), and delegates powers and functions according to statutory provisions. While it mentions government officials (Governor, Mayor, Deputy Mayor), the core content focuses on legal frameworks, regulatory procedures, and statutory interpretations rather than government personnel changes or structural reorganization."
2260-66,2021-12-30,LAND,"This gazette content is exclusively about land acquisition matters under the Land Acquisition Act. It contains detailed notices for acquiring specific land lots (53 parcels) for public purpose (Central Expressway Project), including descriptions, extents, and claimant information. This falls squarely under Type 4 (Land Gazettes) which covers land acquisitions, transfers, and property-related matters."
2260-67,2021-12-30,LAND,"This gazette content is a land acquisition notice published under the Land Acquisition Act, declaring that specific land parcels are needed for a public purpose. The entire document provides detailed descriptions of land lots, their extents, boundaries, and locations. It deals exclusively with land and property-related matters, fitting the definition of a Land Gazette (Type 4). While it mentions the Minister of Lands, this is only in his official capacity to authorize the land acquisition, not as the primary focus of the content."
